"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
1,-1.37200678738299,3.00505487763119,-0.0262770597529405,"Converged",FALSE,-1.23254527420149,2.53338599943375,-0.0269519058949976,"Converged",FALSE,-1.5104442734868,3.48260683777788,-0.0269733552104026,"Converged",FALSE,-1.15377679918018,2.65362767033777,-0.0258694042622299,"Converged",FALSE,-1.48923405205796,3.13590203083372,-0.02642662972638,"Converged",FALSE,0.8,0.2
2,-3.3152601746771,3.62909378626183,0.011528506698003,"Converged",FALSE,-3.18120637091111,3.37282109606867,0.0107030813357203,"Converged",FALSE,-3.02158416525786,2.88146746442752,0.0103855083009593,"Converged",FALSE,-3.04652237117442,2.83801798427808,0.0119971821355959,"Converged",FALSE,-3.36199028131715,3.70260456540538,0.0111866680378977,"Converged",FALSE,0.8,0.2
3,-1.56609532330782,1.43089065285131,-0.0131302896724058,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.818654632426753,-0.96604911826806,-0.0126172208232486,"Converged",FALSE,-1.2228244604183,0.313631118359157,-0.0127351961524168,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.8,0.2
4,-0.164463907653258,0.753347529460655,-0.0381884181458881,"Converged",FALSE,-0.474994404833025,1.70623293057816,-0.0385046248699637,"Converged",FALSE,-0.226388941994617,1.00599445440358,-0.0383850518653759,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.0438382917627996,0.419394966435738,-0.0384560034730162,"Converged",FALSE,0.8,0.2
5,-2.24316259699327,3.34323949284823,-0.0129055750676873,"Converged",FALSE,-2.05118813851596,2.7999882485218,-0.0131029139270237,"Converged",FALSE,-1.73945282070402,1.72562437098485,-0.0127745266696002,"Converged",FALSE,-1.4925349079721,0.958481787170703,-0.0131681687308132,"Converged",FALSE,-2.11064673816457,3.00834336090776,-0.0126440527889979,"Converged",FALSE,0.8,0.2
6,-1.06195981786781,0.522798256481124,-0.0200845877571474,"Converged",FALSE,-0.852510992744978,-0.176688722952887,-0.0199051504757019,"Converged",FALSE,-0.797231500649317,-0.354532379437099,-0.0198384804116529,"Converged",FALSE,-1.47899653790257,1.94282780012536,-0.0209499624246486,"Converged",FALSE,-1.34039447744569,1.41406810538225,-0.0204435975985413,"Converged",FALSE,0.8,0.2
7,-1.56846867022457,0.873452393132238,-0.00983227199018006,"Converged",FALSE,-0.900602352024665,-1.33354763358378,-0.00957148224123808,"Converged",FALSE,-1.9200311559691,1.97099443068497,-0.00985892352588142,"Converged",FALSE,-1.86200787717091,1.62858750556359,-0.00963320200366944,"Converged",FALSE,-1.00859666268626,-0.805516488397221,-0.009823922656841,"Converged",FALSE,0.8,0.2
8,-1.21663227874123,1.65432292278516,-0.0268635594680327,"Converged",FALSE,-1.42511174929944,2.55633318556395,-0.0273915677653403,"Converged",FALSE,-0.861351958714694,0.548217876192517,-0.0272609946712644,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-0.646580909006381,-0.0992541649471887,-0.0272281006439444,"Converged",FALSE,0.8,0.2
9,-2.21334496268657,2.24155835376203,-0.00414493416044091,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.15051935681011,1.95918005353612,-0.00345285981859559,"Converged",FALSE,-2.04825353206965,1.68831895326309,-0.00356877351694546,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.8,0.2
10,-1.1863619601411,-0.189316454955602,-0.00849202825167864,"Converged",FALSE,-1.76800665137377,1.6248537723353,-0.00781201501973963,"Converged",FALSE,-1.0965531711383,-0.48910090384031,-0.00838572079422997,"Converged",FALSE,-1.41196708511519,0.505117395075074,-0.00813187367506606,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.8,0.2
11,-0.745474998631539,-1.75128862519382,-0.00605554295296622,"Converged",FALSE,-0.670480389285513,-2.25630623885547,-0.00549329792963567,"Converged",FALSE,-0.481806531674225,-2.53338962587586,-0.00543189342465055,"Converged",FALSE,-1.00920291004568,-1.06078666531158,-0.00532093034831849,"Converged",FALSE,-1.22766215494033,-0.247460254423953,-0.00573076560352617,"Converged",FALSE,0.8,0.2
12,-1.62843386387339,3.41958633775549,-0.0240960990686116,"Converged",FALSE,-0.894415569904935,0.906837934580937,-0.0239368058503305,"Converged",FALSE,-1.14838731268377,1.56917681043082,-0.023257774413066,"Converged",FALSE,-1.18935292035174,1.91636803886114,-0.0246004445687985,"Converged",FALSE,-1.13069112888327,1.86535564569025,-0.0246945048692974,"Converged",FALSE,0.8,0.2
13,-0.948639415991312,-0.283523902851484,-0.0138477569524893,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.04855719356763,0.0516493361250256,-0.0139052086202206,"Converged",FALSE,-0.948507404324104,-0.246658714495987,-0.014010420288912,"Converged",FALSE,-1.18719881943874,0.462811597241866,-0.0137579998357167,"Converged",FALSE,0.8,0.2
