"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
1,-0.563452644142361,-1.14156217041951,-0.0150106664787349,"Converged",FALSE,-1.66060415601931,2.1215173362251,-0.0135375137336123,"Converged",FALSE,-1.3905745303118,1.42620341427954,-0.0148358011479097,"Converged",FALSE,-0.437625160258301,-1.49107159075357,-0.0151682217460702,"Converged",FALSE,-0.393256330697469,-1.70386037177044,-0.0151197507343549,"Converged",FALSE,0.5,0.5
2,-1.68851529011175,0.365160690226472,-0.00210037187704534,"Converged",FALSE,-1.85783680966218,0.877189220346816,-0.00236787050629774,"Converged",FALSE,-1.54227387155096,-0.1159849238811,-0.00206180064423378,"Converged",FALSE,-2.29618930313227,2.31398842288871,-0.0022776961211782,"Converged",FALSE,-0.536867290818174,-3.26005653088327,-0.00256203864903563,"Converged",FALSE,0.5,0.5
3,-2.1403718373431,0.927823054650004,0.00235904218106878,"Converged",FALSE,-1.89822555337692,0.0834561946730864,0.00246466908041918,"Converged",FALSE,-2.70030850424373,2.88573087262034,0.00180014263865988,"Converged",FALSE,-1.68405337104101,-0.617603070666317,0.00245285831430832,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
4,-1.41369581647086,2.90375399006621,-0.03046739846391,"Converged",FALSE,-0.562493043051167,0.413902466470259,-0.0307053200307485,"Converged",FALSE,-0.649569340428192,0.709710104211963,-0.0312220325087622,"Converged",FALSE,-1.64807784736008,4.19711945182512,-0.0320692172772784,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
5,-0.982509060471422,-0.501119547331962,-0.0165793803809583,"Converged",FALSE,-1.73294868215149,1.73813828238326,-0.0168441945931369,"Converged",FALSE,-1.648838507312,1.6613444623374,-0.0170791891258529,"Converged",FALSE,-1.01615560806918,-0.396246601742733,-0.0163332704840821,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
6,-0.488094638874041,-0.416878120013144,-0.0233746381294506,"Converged",FALSE,-0.0119996167779667,-1.89921724158069,-0.0236079009773028,"Converged",FALSE,-1.20482153039511,1.95701198191452,-0.0234581879361635,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,-1.16239696162911,1.85848643468868,-0.0235087476433124,"Converged",FALSE,0.5,0.5
7,-0.652747445784506,1.5185225163425,-0.0391147257626534,"Converged",FALSE,-0.943055002293078,2.24037323596647,-0.0388562761785835,"Converged",FALSE,-0.0397018516673338,-0.274017521821813,-0.0390989769756959,"Converged",FALSE,0.159693963344733,-0.893404997792607,-0.0391284390200958,"Converged",FALSE,0.0187231077587749,-0.43104300814325,-0.0393019904216248,"Converged",FALSE,0.5,0.5
8,-3.5882684435456,5.39188542259063,0.00478360798871554,"Converged",FALSE,-1.32364553460598,-1.70933323713435,0.00456033194615469,"Converged",FALSE,-2.43896738808377,1.78066237033353,0.00468080926925285,"Converged",FALSE,-1.71647441683708,-0.354148002932203,0.00424471973171954,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
9,-0.992614330792912,-0.49229022389352,-0.0138353319577262,"Converged",FALSE,-0.254477188613453,-2.55357668242668,-0.0147527117913052,"Converged",FALSE,-0.832295955785758,-0.931181551823624,-0.0140587960570385,"Converged",FALSE,-0.594924452538595,-1.73761517286287,-0.0138821332565037,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
10,-0.522860851553121,-1.14199590252869,-0.01789670315462,"Converged",FALSE,-1.24489518830278,1.14773641381245,-0.0180931718327804,"Converged",FALSE,-1.28338364444061,1.34336075886257,-0.0179750886806273,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
11,-1.86558898469761,-0.461411631771985,0.00347846587848654,"Converged",FALSE,-3.06250110227705,3.16344456207993,0.00389056073512823,"Converged",FALSE,-1.89916910276331,-0.374514357818737,0.00356913056973777,"Converged",FALSE,-1.88166162377954,-0.39383763965032,0.00347713855359237,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
